"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6441","should complete full shopping experience - login to purchase","firefox","Mon Jul 07 15:32:33 SAST 2025","passed","Mon Jul 07 15:32:40 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","4867","should continue shopping from cart","chromium","Mon Jul 07 15:31:36 SAST 2025","passed","Mon Jul 07 15:31:41 SAST 2025","Cart Functionality","cart.spec.ts","",""
"","2997","should validate missing postal code","webkit","Mon Jul 07 15:33:03 SAST 2025","passed","Mon Jul 07 15:33:06 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","2207","should navigate to cart from inventory","firefox","Mon Jul 07 15:32:47 SAST 2025","passed","Mon Jul 07 15:32:50 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3430","should cancel checkout from information page","chromium","Mon Jul 07 15:31:46 SAST 2025","passed","Mon Jul 07 15:31:49 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","7670","should handle problem user shopping experience","webkit","Mon Jul 07 15:33:09 SAST 2025","passed","Mon Jul 07 15:33:17 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","3680","should complete checkout with custom user data","webkit","Mon Jul 07 15:33:10 SAST 2025","passed","Mon Jul 07 15:33:13 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","1635","should display all inventory items","webkit","Mon Jul 07 15:33:17 SAST 2025","passed","Mon Jul 07 15:33:19 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","6192","should handle multiple product selection and sorting","firefox","Mon Jul 07 15:32:37 SAST 2025","passed","Mon Jul 07 15:32:43 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","2066","should sort products by name Z-A","firefox","Mon Jul 07 15:32:45 SAST 2025","passed","Mon Jul 07 15:32:47 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","3346","should verify checkout overview displays payment and shipping info","firefox","Mon Jul 07 15:32:30 SAST 2025","passed","Mon Jul 07 15:32:33 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","3497","should verify checkout overview displays payment and shipping info","chromium","Mon Jul 07 15:31:48 SAST 2025","passed","Mon Jul 07 15:31:52 SAST 2025","Checkout Functionality","checkout.spec.ts","",""
"","1909","should sort products by price low to high","webkit","Mon Jul 07 15:33:20 SAST 2025","passed","Mon Jul 07 15:33:22 SAST 2025","Inventory Functionality","inventory.spec.ts","",""
"","6614","should handle cart modifications during shopping","webkit","Mon Jul 07 15:33:13 SAST 2025","passed","Mon Jul 07 15:33:19 SAST 2025","End-to-End Shopping Experience","e2e.spec.ts","",""
"","1880","should show error message for invalid credentials","webkit","Mon Jul 07 15:33:24 SAST 2025","passed","Mon Jul 07 15:33:26 SAST 2025","Login Functionality","login.spec.ts","",""
